,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 522,4.6,7.1,5.9,8.0,6.1,6.4,19.0,42.9,Topic 7,42.9
Document 523,6.5,23.2,19.0,1.3,3.8,11.0,0.1,35.2,Topic 7,35.2
Document 524,11.4,4.6,2.2,1.3,3.6,0.3,1.1,75.4,Topic 7,75.4
Document 525,0.2,0.3,9.1,0.7,0.8,0.1,85.0,3.9,Topic 6,85.0
Document 526,8.8,26.8,0.2,5.1,0.2,3.9,1.6,53.4,Topic 7,53.4
Document 527,4.2,5.7,3.1,21.2,10.0,3.6,29.9,22.3,Topic 6,29.9
Document 528,42.9,3.7,3.2,6.6,10.8,1.5,8.6,22.7,Topic 0,42.9
Document 529,4.0,5.2,1.4,6.1,49.2,19.9,1.1,13.2,Topic 4,49.2
Document 530,0.8,22.2,0.7,14.4,11.8,1.4,43.9,4.8,Topic 6,43.9
Document 531,22.4,7.1,15.9,2.0,9.4,17.1,1.2,25.0,Topic 7,25.0
Document 532,1.0,20.3,1.2,31.1,5.3,13.4,0.0,27.8,Topic 3,31.1
Document 533,7.3,19.4,17.1,1.5,4.2,23.6,11.3,15.5,Topic 5,23.6
Document 534,3.4,15.2,7.8,0.2,4.0,2.8,31.7,34.9,Topic 7,34.9
Document 535,21.4,14.0,14.6,21.7,2.6,13.2,10.6,1.8,Topic 3,21.7
Document 536,7.1,17.8,32.7,12.3,2.0,8.3,11.6,8.2,Topic 2,32.7
Document 537,3.2,7.8,8.5,6.5,1.0,7.6,5.3,60.1,Topic 7,60.1
Document 538,2.4,17.0,19.1,8.9,23.5,13.7,11.4,4.0,Topic 4,23.5
Document 539,6.3,37.8,0.8,11.1,10.5,1.1,14.7,17.8,Topic 1,37.8
Document 540,0.4,18.6,20.9,1.3,17.3,15.0,11.2,15.4,Topic 2,20.9
Document 541,0.1,8.2,10.9,20.5,0.2,12.3,0.1,47.7,Topic 7,47.7
Document 542,9.9,31.9,17.3,2.0,9.8,5.7,19.6,3.7,Topic 1,31.9
Document 543,14.9,5.7,3.8,0.9,0.2,52.3,2.7,19.5,Topic 5,52.3
Document 544,44.6,14.1,4.0,7.0,9.2,3.4,0.2,17.5,Topic 0,44.6
Document 545,32.4,17.6,12.3,1.8,3.7,5.9,25.0,1.3,Topic 0,32.4
Document 546,3.1,1.0,6.8,5.3,46.6,1.8,29.7,5.6,Topic 4,46.6
Document 547,14.6,12.5,1.9,23.3,24.3,0.4,15.9,7.1,Topic 4,24.3
Document 548,1.5,0.5,26.2,28.8,18.0,17.6,6.6,0.8,Topic 3,28.8
Document 549,7.9,12.5,2.6,1.0,15.0,10.9,10.6,39.5,Topic 7,39.5
Document 550,0.6,0.1,8.6,2.9,8.6,0.5,2.8,75.9,Topic 7,75.9
Document 551,1.8,5.7,32.9,0.2,0.0,49.8,0.7,8.9,Topic 5,49.8
