,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 23,0.0,1.4,6.3,0.1,21.3,45.2,10.5,15.2,Topic 5,45.2
Document 24,30.4,32.2,4.8,0.0,12.1,0.1,20.1,0.2,Topic 1,32.2
Document 25,0.2,0.0,1.1,8.0,0.1,0.1,70.2,20.4,Topic 6,70.2
Document 26,0.1,0.0,0.1,24.8,31.4,23.1,0.3,20.3,Topic 4,31.4
Document 27,0.0,14.5,0.2,8.1,33.6,8.1,22.3,13.2,Topic 4,33.6
Document 28,0.2,0.0,3.6,4.2,0.0,0.1,43.0,48.9,Topic 7,48.9
Document 29,12.8,13.7,0.2,0.1,0.0,0.1,19.3,53.8,Topic 7,53.8
Document 30,0.0,5.9,38.9,1.0,11.0,8.7,18.6,15.8,Topic 2,38.9
Document 31,0.0,0.0,0.9,0.0,25.8,49.5,6.2,17.5,Topic 5,49.5
Document 32,22.9,44.8,0.0,1.0,5.7,0.1,0.1,25.4,Topic 1,44.8
Document 33,0.0,0.7,12.8,57.3,4.7,3.9,1.0,19.5,Topic 3,57.3
Document 34,25.7,3.3,13.1,0.1,0.1,5.2,13.5,39.0,Topic 7,39.0
Document 35,0.1,6.9,27.3,0.0,0.2,50.6,5.3,9.4,Topic 5,50.6
Document 36,0.2,32.0,0.5,5.4,0.0,21.0,8.8,32.0,Topic 1,32.0
Document 37,29.7,19.8,2.6,0.1,15.6,4.3,5.8,22.1,Topic 0,29.7
Document 38,13.5,18.8,11.1,2.0,11.4,0.2,0.2,42.9,Topic 7,42.9
Document 39,30.3,0.0,0.2,0.2,11.2,7.3,16.2,34.6,Topic 7,34.6
